spec,exposure,dβ_col,exp_col,n,slope,intercept,se_slope,r,p,sig,verdict
simple,AIIE (Felten 2023),delta_beta1_simple,aiie,9,-0.15942670967539022,0.23969992866872397,0.07891866440405988,-0.6068657025236892,0.08311322221493084,marginal (p<0.10),CONTRADICTS AI hyp.
rc_lag0,AIIE (Felten 2023),delta_beta1_rc_lag0,aiie,9,-0.11907569531725538,0.2094196387667895,0.056021733749564144,-0.6262973962922035,0.07113855035033223,marginal (p<0.10),CONTRADICTS AI hyp.
rc_lag2,AIIE (Felten 2023),delta_beta1_rc_lag2,aiie,9,-0.09187325005929801,0.16178555367756248,0.04825596965404362,-0.5840889808382089,0.09864253329144482,marginal (p<0.10),CONTRADICTS AI hyp.
rc_lag4,AIIE (Felten 2023),delta_beta1_rc_lag4,aiie,9,-0.11214138489619829,0.19192578208917102,0.0735749101067127,-0.49917801521987426,0.17128750944692253,n.s.,Inconclusive
rc_level,AIIE (Felten 2023),delta_beta1_rc_level,aiie,9,-0.1332824339214443,0.23600089010630226,0.08994198692139457,-0.4886662267782464,0.18193064446670887,n.s.,Inconclusive
rc_dev_rolling,AIIE (Felten 2023),delta_beta1_rc_dev_rolling,aiie,9,-0.09665677756964154,0.18258858946638162,0.0537268336194222,-0.562295088019052,0.11504580569532395,suggestive (p<0.15),Inconclusive
